,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
4174,Balaji Action Bu...,4.1,126,Private,"Delhi/NCR,New Delhi + 11 more",32 years old,51-200 Employees (India),Architecture / Interior Design
4175,SEDER GROUP,4.2,126,,Riyadh + 10 more,41 years old,,Telecom / ISP
4176,Shivani Locks,3.6,126,Private,"Faridabad,Haryana + 5 more",34 years old,1k-5k Employees (India),Automobile
4177,Hi-Tech,3.9,126,Public,"Ghaziabad,Uttar Pradesh + 29 more",18 years old,11-50 Employees (India),Design
4178,SA Infrastructur...,4.1,126,Private,"Noida,Uttar Pradesh + 28 more",17 years old,1k-5k Employees (India),Consulting
4179,Lalitpur Power G...,4.2,126,Private,"Lalitpur,Uttar Pradesh + 4 more",13 years old,1k-5k Employees (India),Power
4180,Citrix,4.1,126,Private,"Fort Lauderdale,Florida + 1 more",33 years old,1k-5k Employees (India),IT Services & Consulting
4181,Oriental Bank of...,4.3,126,Private,"Gurgaon/Gurugram,Haryana + 33 more",79 years old,501-1k Employees (India),Financial Services
4182,GfK MODE,3.5,126,Private,"Nuremberg,Bavaria + 12 more",88 years old,51-200 Employees (India),Internet
4183,Red Bull,4.4,126,Private,Fuschl + 27 more,35 years old,501-1k Employees (India),Power
4184,Autocop India,3.7,126,Private,Mumbai + 28 more,33 years old,201-500 Employees (India),Law Enforcement / Security Services
4185,Ghatge Patil Ind...,3.8,126,Private,"Kolhapur,Maharashtra + 7 more",62 years old,501-1k Employees (India),Industrial Equipment / Machinery
4186,Ganges Internati...,3.6,126,Private,"Delhi/NCR,Delhi + 7 more",31 years old,1k-5k Employees (India),Power
4187,TCL,4.2,126,Private,Huizhou + 25 more,41 years old,51-200 Employees (India),Manufacturing
4188,Knack Global,3.5,126,,Woodbridge + 5 more,15 years old,,IT Services & Consulting
4189,NTL Electronics ...,4.2,126,Private,"Noida,Uttar Pradesh + 10 more",29 years old,201-500 Employees (India),Import & Export
4190,Chassis Brakes I...,3.7,126,Private,Amsterdam + 5 more,10 years old,5k-10k Employees (Global),Industrial Equipment / Machinery
4191,Amco Batteries,4.3,126,Public,"Chennai,Tamil Nadu + 24 more",67 years old,201-500 Employees (India),Automobile
4192,Pratibha Syntex,4.2,126,,Indore + 6 more,25 years old,,Textile & Apparel
4193,Vihaan Networks,3.9,126,Private,"Gurgaon/Gurugram,Haryana + 13 more",18 years old,501-1k Employees (India),Telecom / ISP
4194,RenewBuy,3.5,126,Private,"Gurgaon,Haryana + 34 more",8 years old,1k-5k Employees (India),Financial Services
4195,Lifelong India,4.2,126,Private,"Delhi/NCR,Delhi + 3 more",37 years old,501-1k Employees (India),Industrial Equipment / Machinery
4196,Indian School Fi...,4.5,126,Private,"Hyderabad,Telangana + 36 more",28 years old,201-500 Employees (India),Financial Services
4197,Sir Hn Reliance ...,4.3,126,Private,"Mumbai,Maharashtra + 3 more",97 years old,501-1k Employees (India),Clinical Research / Contract Research
4198,Evolent Health I...,4.4,126,Public,"Arlington,Virginia + 1 more",11 years old,501-1k Employees (India),Internet
4199,Sir Hn Reliance ...,4.3,126,Private,"Mumbai,Maharashtra + 3 more",97 years old,501-1k Employees (India),Clinical Research / Contract Research
4200,Global Healthcar...,3.3,126,Private,"Chennai,Tamil Nadu + 2 more",6 years old,1k-5k Employees (India),Medical Services / Hospital
4201,India Yamaha Mot...,3.8,126,,Chennai + 13 more,,1k-5k Employees (India),Automobile
4202,Imperative Busin...,4.6,126,Private,Mumbai + 3 more,11 years old,501-1k Employees (India),IT Services & Consulting
4203,HOLITECH INDIA,3.9,126,,Greater Noida + 12 more,,51-200 Employees (India),Electronics Manufacturing
4204,Skill Lync,3.4,126,,California + 6 more,7 years old,,Internet
4205,ONPASSIVE,3.8,126,,Orlando + 3 more,4 years old,,IT Services & Consulting
4206,QX Global Group,4,126,Public,"Skipton,North Yorkshire + 5 more",19 years old,1k-5k Employees (India),Recruitment / Staffing
4207,Maxicus,4.5,126,,"Gurgaon,Haryana + 3 more",19 years old,,
4208,Aditya Birla Nuv...,4.4,451,Public,"Mumbai,Maharashtra + 27 more",75 years old,10k-50k Employees (India),Textile & Apparel
4209,JMR Infotech,4.1,125,Private,"Bangalore/Bengaluru,Karnataka + 5 more",15 years old,501-1k Employees (India),IT Services & Consulting
4210,Margadarsi Chit ...,3.9,125,Private,Hyderabad + 17 more,60 years old,1k-5k Employees (India),Financial Services
4211,Hyderabad Indust...,4.3,125,Private,Hyderabad + 26 more,76 years old,1k-5k Employees (India),Logistics / Shipping
4212,SirionLabs,3.8,125,Private,"Bellevue,Washington",10 years old,501-1k Employees (India),Hardware & Networking
4213,WEG,3.6,125,Private,"Tamil Nadu,Karnataka + 6 more",61 years old,201-500 Employees (India),Industrial Equipment / Machinery
4214,Polyhose,3.8,125,Private,"Chennai,Tamil Nadu + 7 more",26 years old,201-500 Employees (India),Design
4215,GM Modular,4,125,Private,"Mumbai,Maharashtra + 26 more",22 years old,501-1k Employees (India),Electronics Manufacturing
4216,Marble Box,3.8,125,Private,Chicago,20 years old,501-1k Employees (India),Insurance
4217,Webtel Electroso...,3.9,125,Private,"Delhi/NCR,Delhi + 9 more",22 years old,201-500 Employees (India),Recruitment / Staffing
4218,Fleet Management,4,125,Private,Wong Chuk Hang + 12 more,28 years old,201-500 Employees (India),Logistics / Shipping
4219,ICICI Direct,3.9,125,Private,Mumbai + 43 more,27 years old,201-500 Employees (India),Financial Services
4220,Venus Industrial...,3.8,125,Private,"Faridabad,Haryana + 9 more",50 years old,1-10 Employees (India),Automobile
4221,Clarks Inn Group...,3.8,125,,"Noida,Uttar Pradesh + 34 more",16 years old,,Hotels & Restaurants
4222,Megafine Pharma,3.8,125,Private,"Mumbai,Maharashtra + 6 more",27 years old,201-500 Employees (India),Manufacturing
4223,IIHT,4.4,125,Private,"Bangalore/Bengaluru,Karnataka + 21 more",29 years old,201-500 Employees (India),Education / Training
4224,CETPA InfoTech,4.2,125,Private,"Noida,Uttar Pradesh + 5 more",20 years old,501-1k Employees (India),Consulting
4225,Jaslok Hospital ...,4.2,125,Private,"Mumbai,Maharashtra + 6 more",49 years old,1k-5k Employees (India),Clinical Research / Contract Research
4226,Electropneumatic...,4,125,Private,"Pune,Maharashtra + 1 more",50 years old,501-1k Employees (India),Industrial Equipment / Machinery
4227,HCG Cancer Centr...,3.9,125,Public,"Ahmedabad,Gujarat + 16 more",16 years old,5k-10k Employees (India),Medical Services / Hospital
4228,Eugia Pharma Spe...,4.1,125,,Hyderabad/Secunderabad + 2 more,,201-500 Employees (India),Healthcare / Pharma
4229,Apisero,4.4,125,,Chandler + 6 more,6 years old,,IT Services & Consulting
4230,Aeries Technolog...,4.2,125,Private,"Mumbai,Maharashtra + 4 more",10 years old,1k-5k Employees (India),IT Services & Consulting
4231,CL Educate,4,125,Public,"Delhi/NCR,New Delhi + 21 more",26 years old,501-1k Employees (India),Education / Training
4232,JBF Industries,4.2,181,Public,"Mumbai,Maharashtra + 6 more",40 years old,201-500 Employees (India),Manufacturing
4233,Duroshox,3.4,124,Private,Pune,35 years old,51-200 Employees (India),Automobile
4234,NSL Textiles,4.4,124,Private,"Guntur,Andhra Pradesh + 10 more",20 years old,1k-5k Employees (India),Manufacturing
4235,SAI Consulting E...,4.4,124,Private,Ahmedabad + 22 more,39 years old,501-1k Employees (India),Engineering & Construction
4236,Rohan Motors,3.8,124,,"Noida,Uttar Pradesh + 13 more",34 years old,,Automobile
4237,Acute Informatic...,3.6,124,Private,Ahmedabad + 29 more,17 years old,201-500 Employees (India),IT Services & Consulting
4238,DAEWOO E&C,4.7,124,Public,Seoul + 9 more,49 years old,5k-10k Employees (Global),Engineering & Construction
4239,Rahee Infratech,3.9,124,Private,"Howrah,West Bengal + 13 more",74 years old,501-1k Employees (India),Roads/Railways
4240,Nobel Hygiene,3.9,124,Private,"Mumbai,Maharashtra + 24 more",22 years old,51-200 Employees (India),Financial Services
4241,QSpiders,3.9,124,Private,"Bangalore/Bengaluru,Karnataka + 10 more",19 years old,1k-5k Employees (India),Education / Training
4242,Viteos Capital M...,3.9,124,Private,New York + 3 more,19 years old,1k-5k Employees (India),Financial Services
4243,Indo Rama Synthe...,4,124,Public,"Gurgaon/Gurugram,Haryana + 8 more",36 years old,51-200 Employees (India),Manufacturing
4244,Oriental Aromati...,3.1,124,Public,"Mumbai,Maharashtra + 5 more",67 years old,501-1k Employees (India),Chemicals / Agri Inputs
4245,StoreKing,3.3,124,Private,"Bangalore,Karnataka + 17 more",10 years old,501-1k Employees (India),Financial Services
4246,Leayan Global,4.3,124,Private,"Kanpur,Uttar Pradesh + 22 more",17 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing
4247,SBI Capital Mark...,3.2,124,Public,"Mumbai,Maharashtra + 40 more",36 years old,201-500 Employees (India),Financial Services
4248,GITAM University,4.2,124,Private,Visakhapatnam + 3 more,42 years old,1k-5k Employees (India),Education / Training
4249,PIX Transmission...,4,124,Public,"Nagpur,Maharashtra + 4 more",41 years old,51-200 Employees (India),Industrial Equipment / Machinery
4250,Population Servi...,4.2,124,Private,Washington D.C + 31 more,52 years old,5k-10k Employees (Global),NGO / Social Services / Industry Associations
4251,Gamma Process Hu...,3.3,124,Private,"Chennai,Tamil Nadu + 4 more",6 years old,51-200 Employees (India),BPO/KPO
4252,ILJIN AUTOMOTIVE,3.7,124,,Seoul + 6 more,49 years old,,Automobile
4253,Advaith Motors,4.3,124,Private,"Bangalore/Bengaluru,Karnataka + 8 more",24 years old,501-1k Employees (Global),Automobile
4254,Home Centre,4.2,124,,Dubai + 25 more,27 years old,,Furniture & Furnishing
4255,Cholayil,4.3,124,Private,"Chennai,Tamil Nadu + 15 more",53 years old,1k-5k Employees (India),Biotech & Life sciences
4256,TITAGARH WAGONS,3.2,124,Public,"Kolkata,West Bengal + 6 more",24 years old,501-1k Employees (India),Financial Services
4257,S.S. Kothari Meh...,3.7,124,Private,"Delhi/NCR,Delhi + 4 more",69 years old,201-500 Employees (India),Accounting / Auditing
4258,KEM Hospital,4.4,124,Private,Mumbai + 2 more,96 years old,51-200 Employees (India),Medical Services / Hospital
4259,Honda India Powe...,4.2,124,,Greater Noida + 18 more,,1k-5k Employees (India),
4260,Anlage Infotech,4.2,124,Private,"Mumbai,Maharashtra + 11 more",26 years old,11-50 Employees (India),Education / Training
4261,Mobile Programmi...,3.5,124,LLC,Los Angeles + 8 more,21 years old,501-1k Employees (India),Hardware & Networking
4262,Aspiring Minds,3.8,123,Private,"San Jose,California + 10 more",14 years old,201-500 Employees (India),Internet
4263,KMC Construction...,3.9,123,Public,"Chennai,Tamil Nadu + 23 more",25 years old,201-500 Employees (India),Engineering & Construction
4264,Borosil Glass Wo...,3.5,123,Public,"Mumbai,Maharashtra + 15 more",60 years old,501-1k Employees (India),Building Material
4265,Kd Logistics,4,123,,"Mumbai,Maharashtra + 22 more",17 years old,,Internet
4266,Bank Muscat,3.7,123,Private,Muscat + 50 more,40 years old,51-200 Employees (India),Banking / Insurance / Accounting
4267,FreshMenu,3.7,123,Private,"Bangalore,Karnataka + 5 more",8 years old,201-500 Employees (India),FMCG
4268,Unicorn Infosolu...,3.5,123,Private,"Mumbai,Maharashtra + 13 more",20 years old,201-500 Employees (India),Retail
4269,BCG,4.1,123,Private,"Boston,Massachusetts + 6 more",59 years old,1k-5k Employees (India),Consulting
4270,Kesari Tours,3.8,123,Private,"Mumbai,Maharashtra + 8 more",38 years old,501-1k Employees (India),Travel & Tourism / Hospitality
4271,Bacardi,4.3,123,Private,"Hamilton,Bermuda + 33 more",160 years old,501-1k Employees (India),Retail
4272,DISYS,3.6,123,Private,"McLean,Virginia + 8 more",28 years old,51-200 Employees (India),Recruitment / Staffing
4273,Phenom,3.6,123,Private,"Ambler,Pennsylvania + 1 more",11 years old,1k-5k Employees (India),Internet
4274,Schott Kaisha,3.6,123,Private,Mumbai + 8 more,32 years old,1k-5k Employees (India),Manufacturing
4275,Lawrence & Mayo,4,123,,Mumbai + 20 more,145 years old,,Consumer goods
4276,InnoEye Technolo...,3.2,123,Private,"Indore,Madhya Pradesh",10 years old,501-1k Employees (India),Consulting
4277,Biotique,3.4,123,Private,"Ghaziabad,Uttar Pradesh + 19 more",22 years old,501-1k Employees (India),Biotechnology
4278,King George's Me...,4.2,123,Private,Lucknow + 5 more,117 years old,501-1k Employees (India),Education / Training
4279,Bombay Hospital,4.1,123,Private,"Mumbai,Maharashtra + 4 more",70 years old,501-1k Employees (India),Medical Services / Hospital
4280,Minda Sai,3.6,123,Public,Greater Noida + 13 more,19 years old,201-500 Employees (India),Automobile
4281,Maharaja Agrasen...,4,123,,"Delhi/NCR,Delhi + 9 more",31 years old,,Medical Services / Hospital
4282,RadiSys,4.4,123,Private,"Bangalore/Bengaluru,Karnataka + 3 more",35 years old,1k-5k Employees (India),Telecom / ISP
4283,Apcer Life Scien...,3.8,123,,"Princeton,New Jersey",15 years old,,Clinical Research / Contract Research
4284,Kantar Operation...,3.5,123,,London + 17 more,29 years old,,Analytics / KPO / Research
4285,Anion Healthcare...,4.5,123,Private,"Hyderabad/Secunderabad,Telangana + 3 more",23 years old,51-200 Employees (India),Medical Services / Hospital
4286,Muthoot Housing ...,4,123,Private,"Mumbai,Maharashtra + 50 more",12 years old,501-1k Employees (India),Financial Services
4287,Hero Electric,4.3,123,Private,"Gurgaon,Haryana + 18 more",15 years old,501-1k Employees (India),Automobile
4288,A&A Business Con...,4,123,Private,"Mumbai,Maharashtra + 8 more",13 years old,201-500 Employees (India),Consulting
4289,Yellow Diamond,4.2,123,Public,"Indore,Madhya Pradesh + 27 more",13 years old,1k-5k Employees (India),FMCG
4290,HDFC Credila Fin...,4.3,123,Private,"Mumbai,Maharashtra + 21 more",16 years old,501-1k Employees (India),Financial Services
4291,Innoval Digital ...,4.5,123,Private,"Trivandrum/Thiruvananthapuram,Kerala + 1 more",25 years old,201-500 Employees (India),Software Product
4292,Aksentt Tech Ser...,4.5,123,Public,"Mumbai,Maharashtra + 2 more",15 years old,1k-5k Employees (India),Telecom / ISP
4293,SOS Children's V...,3.9,123,Private,Imst + 26 more,73 years old,1k-5k Employees (India),NGO / Social Services / Industry Associations
4294,Jubilant Industr...,4.1,474,Public,"Noida,Uttar Pradesh + 28 more",15 years old,501-1k Employees (India),Chemicals
4295,Ck Birla Hospita...,4,330,Private,Kolkata + 2 more,53 years old,201-500 Employees (Global),Medical Services / Hospital
4296,Expedia,4.4,131,Private,"Bellevue,Washington + 5 more",15 years old,10k-50k Employees (India),Internet
4297,Clifford Chance,4.1,122,Private,"Gurgaon/Gurugram,Haryana + 2 more",15 years old,201-500 Employees (India),Legal
4298,Masu Brakes,3.7,122,Private,"Delhi/NCR,Delhi + 3 more",40 years old,51-200 Employees (India),Automobile
4299,Normet,4.1,122,Private,"Espoo,Southern Finland + 11 more",60 years old,1k-5k Employees (India),Industrial Equipment / Machinery
4300,ITM Group of Ins...,3.6,122,Private,"Mumbai,Maharashtra + 21 more",31 years old,1k-5k Employees (India),Education / Training
4301,Daebu Automotive...,3.8,122,Private,"Chennai,Tamil Nadu + 3 more",16 years old,201-500 Employees (Global),Automobile
4302,Advantage One Ta...,4.1,122,Private,Sterling + 1 more,19 years old,201-500 Employees (India),Consulting
4303,Coverfox,3.5,122,Private,"Mumbai,Maharashtra + 7 more",9 years old,201-500 Employees (India),Insurance
4304,Bioseed,4.3,122,Private,Hyderabad + 28 more,30 years old,501-1k Employees (India),Biotech & Life sciences
4305,African Industri...,3.5,122,Private,Lagos + 6 more,51 years old,51-200 Employees (India),Manufacturing
4306,Plastic Omnium,3.7,122,Private,Levallois-Perret + 8 more,76 years old,201-500 Employees (India),Automobile
4307,Mashreq Bank,3.5,122,Public,"Dubai,Dubai + 6 more",55 years old,11-50 Employees (India),Financial Services
4308,Patton Internati...,3.9,122,Private,"Kolkata,West Bengal + 2 more",32 years old,51-200 Employees (India),Iron & Steel
4309,British Airways,3.6,122,Private,"Harmondsworth,Greater London + 6 more",103 years old,201-500 Employees (India),Airlines / Aviation / Aerospace
4310,Amrapali Group,4.4,122,Private,"Noida,Uttar Pradesh + 10 more",19 years old,501-1k Employees (India),Real Estate
4311,Azim Premji Foun...,4.5,122,Private,"Bangalore/Bengaluru,Karnataka + 25 more",21 years old,1k-5k Employees (India),NGO / Social Services / Industry Associations
4312,MITA,3.4,122,Private,Cambridge + 5 more,23 years old,51-200 Employees (India),Industrial Equipment / Machinery
4313,Xpo Logistics,3.5,122,Public,"Greenwich,Connecticut + 16 more",11 years old,51-200 Employees (India),Urban Transport
4314,Rainbow Hospital,4.2,122,Private,Hyderabad + 9 more,23 years old,1k-5k Employees (India),Medical Services / Hospital
4315,Aster MIMS,4.3,122,Private,Kozhikode + 14 more,22 years old,1k-5k Employees (India),Healthcare / Pharma
4316,Course5,3.7,122,,"Bellevue,Washington + 6 more",22 years old,,Management Consulting
4317,C DOT,4.1,122,,"Delhi/NCR,New Delhi + 6 more",38 years old,,Consulting
4318,University of En...,4,122,,Kolkata + 14 more,8 years old,,Education / Training
4319,University of En...,4,122,,Kolkata + 14 more,8 years old,,Education / Training
4320,Course5,3.7,122,,"Bellevue,Washington + 6 more",22 years old,,Management Consulting
4321,IL&FS Skills Dev...,3.9,122,,Mumbai + 41 more,11 years old,,Education / Training
4322,Escort Kubota,3.9,122,,Faridabad + 6 more,,,Industrial Equipment / Machinery
4323,Global Calcium,3.8,122,Private,"Bangalore/Bengaluru,Karnataka + 3 more",52 years old,501-1k Employees (India),Pharmaceutical & Life Sciences
4324,Videojet Technol...,3.9,122,Private,"Wood Dale,Illinois + 18 more",27 years old,501-1k Employees (India),Import & Export
4325,Jade Global,4.3,121,Private,San Jose + 3 more,19 years old,1k-5k Employees (India),IT Services & Consulting
4326,Suven Life Scien...,3.9,121,Public,"Hyderabad/Secunderabad,Telangana + 5 more",33 years old,51-200 Employees (India),Clinical Research / Contract Research
